,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
69,97182,Ujang Pandang (Indonesia),-5.06,119.55,14,97182,-5.06,119.55,20191119060000,1007.3,-0.23,6.0,1007.0,220.0,3.6,33.6,24.1,16000.0,2.0,1.0,1.0,3.0,3.0,4.0,9.0,1.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
70,97192,Bau-Bau / Beto Ambiri (Indonesia),-5.48,122.56,2,97192,-5.48,122.56,20191119060000,1009.2,-0.21,7.0,1009.0,190.0,6.2,33.2,22.2,12000.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
71,97230,Denpasar / Ngurah-Rai (Indonesia),-8.74,115.16,1,97230,-8.74,115.16,20191119060000,1008.4,-0.22,7.0,1008.0,100.0,4.1,30.6,23.4,10000.0,2.0,1.0,1.0,5.0,1.0,4.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,97240,Ampenan / Selaparang (Indonesia),-8.56,116.09,3,97240,-8.56,116.09,20191119060000,1009.5,-0.16,7.0,1009.0,300.0,6.7,30.6,22.2,7000.0,17.0,9.0,2.0,6.0,5.0,4.0,9.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,97260,Sumbawa Besar / Sumbawa Besar (Indonesia),-8.48,117.41,3,97260,-8.48,117.41,20191119060000,1007.0,-0.2,6.0,1007.0,310.0,5.7,31.7,25.4,10000.0,2.0,1.0,1.0,5.0,3.0,5.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
74,97270,Bima (Indonesia),-8.54,118.69,2,97270,-8.54,118.69,20191119060000,1007.2,-0.23,7.0,1007.0,20.0,6.2,34.4,19.3,9000.0,2.0,1.0,1.0,5.0,4.0,4.0,9.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
75,97284,Ruteng / Satartacik (Indonesia),-8.59,120.47,1170,97284,-8.59,120.47,20191119060000,1009.6,-0.09,6.0,1009.0,10.0,1.0,18.8,18.4,5000.0,95.0,9.0,6.0,8.0,6.0,4.0,9.0,2.0,1.0,,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,97300,Maumere / Wai Oti (Indonesia),-8.63,122.23,3,97300,-8.63,122.23,20191119060000,1008.8,-0.17,6.0,1008.0,330.0,3.1,33.0,23.5,10000.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
77,97310,Larantuka (Indonesia),-8.27,123.0,9,97310,-8.27,123.0,20191119060000,1007.9,-0.18,7.0,1007.0,80.0,3.6,32.6,24.0,15000.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
78,97320,Alor / Mali (Indonesia),-8.13,124.59,12,97320,-8.13,124.59,20191119060000,1008.8,-0.16,6.0,1008.0,80.0,3.6,33.6,23.8,14000.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
79,97340,Waingapu / Mau Hau (Indonesia),-9.66,120.29,12,97340,-9.66,120.29,20191119060000,1008.0,-0.22,6.0,1008.0,20.0,4.6,32.0,25.5,10000.0,2.0,1.0,1.0,4.0,2.0,5.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
80,97372,Kupang / El Tari (Indonesia),-10.17,123.67,108,97372,-10.17,123.67,20191119060000,1008.8,-0.14,7.0,1008.0,310.0,3.6,31.6,25.9,10000.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
81,97378,Rote / Baa (Indonesia),-10.76,123.07,1,97378,-10.76,123.07,20191119060000,1013.7,-0.15,6.0,1013.0,170.0,4.1,32.4,21.8,10000.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
